Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
1,110024,PISTON COMPLETE,888.00,KIT
2,110037/3,D/S BRG.CIRCLIP,25.00,
3,110050,D/S BALL BEARING 6305,336.00,
4,110054/B,"DISTANCE TUBE, INNER",66.00,
5,110056/B,DISTANCE PIECE,41.00,
6,110079,"0.RREL BASE STUD,1/4""CEIx7/8""",6.00,
7,110081/B,"HEX.NUT,  5/16CEI",31.00,
8,110082,"STUD,  5/16 CEI X 2.4""",17.00,
9,110090/B,GUDGEON PIN,157.00,
10,110091/B,CIRCLIP,9.00,
11,110116/B,STEM LOCK NUT,90.00,
12,110121,BOTTOM TUBE LUG CAP,150.00,
13,110142/6,SPRING FRONT FORK,490.00,
14,110143,SPRING GUIDE,35.00,
15,110158,"LOTTED RD. HD.SCREW 3/16""",4.00,
16,110161,ROMMET,4.00,
17,110163/B,MUD CARR RUBBER PLUG,9.00,
18,110170,TAG,15.00,
19,110179,SPEEDO METER RUBBER RING,19.00,
20,110201/B,SCREW,8.00,
21,110202/3,"G/BOX STUD(L),3/8""CEIX4-7/8""",23.00,
22,110220,"HEX.NUT,    1/2""CEI",15.00,
23,110221/12,ENGINE  SPROCKET,484.00,
24,110250,CLUTCH ROD,43.00,
25,110253/A,RATCHET INNER,90.00,
26,110255/6,NEUTRAL LEVER,160.00,
27,110256/4,DOUBLE COIL SPRING LOCK WASHER,8.00,
28,110262/1,OIL SEAL,29.00,
29,110263/10,FC.LEVER  SHORT,261.00,
30,110267,F.D.SPROCKET 16T-HT,354.00,
31,110283/B,SHOE PIN,58.00,
32,110284,"HEX.THIN NUT,   7/16 CEI",21.00,
33,110287/8,LEVER ASSY,77.00,
34,110292/C,FELT WASHER,8.00,
35,110293/2,RETAINER,8.00,
36,110300,FULCRUM STUD,35.00,
37,110320/3,SPLIT PIN,1.00,
38,110333,REAR CHAIN CONNECTING LINK,23.00,
39,110334/D,COLLAR,26.00,
40,110349,NIPPLE,4.00,
41,110353/4,"170214 FACED HEX. NUT,  1/2""CE",20.00,
42,110358,PROP STAND PIN(ARMY),20.00,
43,110360,"STUD,   7/16""CEI X 3-1/8""",33.00,
44,110361,STUD,19.00,
45,110365,"HEX.NUT,    7/16"" CEI",15.00,
46,110367,REAR NO PLATE BEADING STD,15.00,
47,110384,"STICKER, RH",11.00,Old BVI-Stock avl at warehouse
48,110385,"STICKER, RH",11.00,Old BVI-Stock avl at warehouse
49,110405,RUBBER SLEEVE,14.00,
50,110406,SLEEVE,32.00,
51,110414,STICKER,8.00,
52,110422,PETROL TANK SLEEVE ASSY,28.00,
53,110452,SLOTTED RAISED C'SK SCRE,42.00,
54,110498,KNEE GRIP RH,290.00,
55,110499,KNEE GRIP LH,290.00,
56,110643/7,BUSH-CHAIN STAY,75.00,
